,z0,z025,z05,z1,z2
3.45578,61.2576,38.4041,26.6269,13.4791,3.62999
3.47153,60.3713,37.9526,26.3914,13.3767,3.58535
3.48724,59.8986,37.7123,26.1902,13.2759,3.5716
3.50292,59.6434,37.2291,25.815,13.1168,3.54362
3.51859,58.649,36.6896,25.578,12.9773,3.51757
3.53431,58.3458,36.3772,25.263,12.8879,3.48741
3.55007,57.738,36.1068,25.1198,12.7688,3.46379
3.56577,56.973,35.7814,24.8443,12.6612,3.43523
3.58146,56.6413,35.2966,24.578,12.535,3.39735
3.59719,56.1538,35.0828,24.3715,12.4252,3.37776
3.61292,55.3584,34.6426,24.0643,12.2943,3.3406
3.62859,54.9574,34.3082,23.749,12.2174,3.31775
3.64429,54.3843,33.9908,23.6277,12.0487,3.30951
3.66003,53.7548,33.6723,23.3711,11.9472,3.26797
3.67578,53.1961,33.2328,23.1849,11.8589,3.23861
3.69146,52.9081,33.0272,22.8643,11.6973,3.22731
3.70712,52.123,32.6467,22.6634,11.6118,3.20836
3.72284,51.6223,32.2802,22.4468,11.4955,3.18164
3.73853,51.147,32.0813,22.1844,11.4242,3.1449
3.75422,50.774,31.5277,22.0143,11.3351,3.13591
3.76993,50.2073,31.3547,21.7884,11.231,3.10621
3.78564,49.7184,31.0816,21.5474,11.0807,3.07563
3.80137,49.3358,30.6725,21.3467,10.9952,3.07405
3.81707,48.7652,30.398,21.1754,10.868,3.03283
3.83279,48.3128,30.1414,20.9806,10.8107,3.01467
3.84853,47.8987,29.8461,20.7785,10.6873,2.99013
3.86424,47.3431,29.5165,20.5012,10.609,2.96551
3.87992,46.8648,29.3217,20.3174,10.5065,2.94316
3.89561,46.5319,28.9079,20.1457,10.4393,2.91202
3.91134,46.1251,28.6679,19.9676,10.2983,2.89076
3.92704,45.7856,28.4301,19.7633,10.2092,2.8681
3.94273,45.2488,28.1281,19.5591,10.1234,2.84543
3.95845,44.8335,27.8181,19.4245,10.0138,2.82833
3.97418,44.3493,27.6468,19.2586,9.92993,2.80491
3.98988,44.0456,27.4026,19.0141,9.8539,2.78565
4.00554,43.5688,27.1415,18.898,9.77559,2.75749
4.02125,43.2005,26.9011,18.7258,9.66583,2.7355
4.03698,42.8015,26.6108,18.5061,9.59281,2.7182
4.05268,42.3435,26.3266,18.2807,9.51056,2.68877
4.06839,42.006,26.1429,18.1476,9.44422,2.67049
