# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.03856e-05 to 223.529 h/Mpc,
# number of wavenumbers equal to 388
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:t_g                   10:t_b                   11:t_cdm                 12:t_ur                  13:t_tot              
       1.192425611488e-03      -1.740665121799e+00      -1.313748964405e+00      -1.313821237329e+00      -1.739400971788e+00      -1.326283563780e+00       6.081847523137e-01       5.938982771571e-01       1.721354815877e-04       1.967070752173e-04       1.967301047573e-04       1.706693214923e-04       1.957531975594e-04 
       1.248622899217e-03      -1.757833760247e+00      -1.328267707483e+00      -1.328355129664e+00      -1.756322681048e+00      -1.340889270470e+00       6.077799457420e-01       5.936243618342e-01       1.861869733629e-04       2.156118190702e-04       2.156397321523e-04       1.844469857053e-04       2.144700590107e-04 
       1.307468683520e-03      -1.776417505326e+00      -1.344174206924e+00      -1.344278723852e+00      -1.774614309188e+00      -1.356884582843e+00       6.073382287591e-01       5.933252533649e-01       2.011019013765e-04       2.363265292141e-04       2.363598132584e-04       1.990411455505e-04       2.349599697509e-04 
       1.369087784196e-03      -1.796509358000e+00      -1.361600182760e+00      -1.361724992353e+00      -1.794359795140e+00      -1.374401004475e+00       6.068549534609e-01       5.929973304925e-01       2.168718899293e-04       2.590221887228e-04       2.590617868481e-04       2.144357540063e-04       2.573872315249e-04 
       1.433610903619e-03      -1.818211484914e+00      -1.380688596685e+00      -1.380842007713e+00      -1.815645441177e+00      -1.393584297248e+00       6.063242674696e-01       5.926356214336e-01       2.334739229738e-04       2.838833179135e-04       2.839324422339e-04       2.305955378338e-04       2.819299924622e-04 
       1.501174903977e-03      -1.841592180056e+00      -1.401596583171e+00      -1.401779376212e+00      -1.838539645809e+00      -1.414582833626e+00       6.057472120582e-01       5.922422957478e-01       2.508576917812e-04       3.111207376770e-04       3.111789527694e-04       2.474687629294e-04       3.087860048629e-04 
       1.571923097572e-03      -1.866756819682e+00      -1.424496693924e+00      -1.424716968136e+00      -1.863124916057e+00      -1.437572917099e+00       6.051169586108e-01       5.918114167266e-01       2.689539962148e-04       3.409541955336e-04       3.410243579204e-04       2.649695197774e-04       3.381662579580e-04 
       1.646005550808e-03      -1.893779224028e+00      -1.449576275848e+00      -1.449840285175e+00      -1.889464115797e+00      -1.462736930338e+00       6.044300676589e-01       5.913408019939e-01       2.876572132070e-04       3.736302081920e-04       3.737141162187e-04       2.829846405526e-04       3.703026866678e-04 
       1.723579402501e-03      -1.922736532189e+00      -1.477039212930e+00      -1.477356110683e+00      -1.917614370453e+00      -1.490277182210e+00       6.036813523172e-01       5.908264064402e-01       3.068261489174e-04       4.094148501184e-04       4.095154097534e-04       3.013603814714e-04       4.054463309044e-04 
       1.804809197192e-03      -1.953693426445e+00      -1.507108322339e+00      -1.507490072959e+00      -1.947618395154e+00      -1.520413900625e+00       6.028652751496e-01       5.902639089525e-01       3.262732697581e-04       4.485985999095e-04       4.487197600147e-04       3.198971437215e-04       4.438698569835e-04 
       1.889867234164e-03      -1.986691570461e+00      -1.540026764257e+00      -1.540485425619e+00      -1.979497512715e+00      -1.553384182225e+00       6.019770209790e-01       5.896497762534e-01       3.457567227808e-04       4.915004890577e-04       4.916459128756e-04       3.383443758388e-04       4.858702587849e-04 
       1.978933932919e-03      -2.021760761098e+00      -1.576058248702e+00      -1.576610273450e+00      -2.013252551674e+00      -1.589448143161e+00       6.010104459457e-01       5.889790694937e-01       3.649734581783e-04       5.384656754869e-04       5.386406695790e-04       3.563882456385e-04       5.317688144297e-04 
       2.072198215866e-03      -2.058899556997e+00      -1.615492178583e+00      -1.616156157764e+00      -2.048853857408e+00      -1.628888088467e+00       5.999592799850e-01       5.882467971998e-01       3.835454484965e-04       5.898717529353e-04       5.900821138189e-04       3.736449801711e-04       5.819142330656e-04 
       2.169857909054e-03      -2.098068495600e+00      -1.658642709867e+00      -1.659437631617e+00      -2.086233768562e+00      -1.672007814102e+00       5.988181505612e-01       5.874487900905e-01       4.010140133585e-04       6.461320410187e-04       6.463832041422e-04       3.896558223820e-04       6.366858538590e-04 
       2.272120161784e-03      -2.139206858959e+00      -1.705848968302e+00      -1.706804381613e+00      -2.125287164521e+00      -1.719142860427e+00       5.975786067201e-01       5.865776810301e-01       4.168257442802e-04       7.076890832776e-04       7.079906676260e-04       4.038667309679e-04       6.964911280681e-04 
       2.379201886006e-03      -2.182191420166e+00      -1.757480774373e+00      -1.758631165517e+00      -2.165852825529e+00      -1.770652208372e+00       5.962340304396e-01       5.856278821573e-01       4.303237601475e-04       7.750293871206e-04       7.753924947874e-04       4.156346094774e-04       7.617738143477e-04 
       2.491330216414e-03      -2.226832284277e+00      -1.813944733229e+00      -1.815324744395e+00      -2.207707966632e+00      -1.826924743481e+00       5.947779155379e-01       5.845938502286e-01       4.407357703724e-04       8.486850171598e-04       8.491197778734e-04       4.242169429600e-04       8.330152731746e-04 
       2.608742992229e-03      -2.272895175910e+00      -1.875672310582e+00      -1.877332865451e+00      -2.250564711856e+00      -1.888385140324e+00       5.932012224462e-01       5.834671886926e-01       4.471684520336e-04       9.292233246381e-04       9.297461991526e-04       4.287590270372e-04       9.107321756657e-04 
       2.731689261691e-03      -2.320038814351e+00      -1.943141955524e+00      -1.945134607861e+00      -2.294050400225e+00      -1.955488004148e+00       5.914976247188e-01       5.822420847269e-01       4.486031616528e-04       1.017272039966e-03       1.017898316533e-03       4.283132789424e-04       9.954888290279e-04 
